"COORDENADA_X";"COORDENADA_Y";"cluster"
61.6786117686251;67.7915687476199;2
35.4299085218972;99.203257471502;8
123.487408060221;44.3560481723093;3
58.3819874769383;74.7582696187453;8
39.0550054350171;64.8248078327163;1
105.352821433152;97.28921089324;7
36.2494277283712;58.342024857495;1
81.3060649307128;59.3940765515822;2
51.0307257718168;69.7529711828628;8
52.9739133117537;44.0973520247884;1
60.4406330669221;60.1771155063361;2
18.5482804050263;-32.7539157184565;9
137.505532350176;28.4043252860997;3
116.61181225378;35.8949842747859;3
128.754464560448;27.4341129455813;3
139.906815236528;-6.86775820948574;5
-15.0834208904164;108.224773273822;4
26.5537234679145;71.2735615054704;8
73.2735248515211;30.3735661244815;6
17.2857843990412;52.2357483936752;1
65.3359295848456;-0.945208920709249;6
53.7608736436774;14.4686400502697;6
25.3260558358366;57.5463623138393;1
131.471720283274;62.246178019177;3
146.535042202306;47.2909227449937;3
-16.402000103114;114.276669165301;4
31.6786555704166;92.5352430659167;8
67.6514752858148;-8.53857499958106;6
46.6703603834987;85.0582986308593;8
69.1471752446741;52.1136613703516;2
119.602944483502;-11.1019839928371;5
39.6980132316312;89.15222436504;8
49.1473754570195;61.80416203883;1
34.1402792770034;98.7395188931758;8
41.15867178352;36.9289112237217;1
45.5081618357102;50.6211481363718;1
140.927478671806;-12.3456329806027;5
33.4113348217215;52.2885696783626;1
85.1611164984274;86.8839276934295;7
67.7040933424493;20.5569847461155;6
62.8960003797898;3.90179874453172;6
133.540999883447;2.50229084042667;5
77.561499157348;18.5852447912906;6
90.6560038017977;25.7220832486557;6
83.0020966412378;47.0670261478015;2
97.376439161172;34.3296429253594;2
26.9614398401682;-23.9521937529501;9
45.0180823074855;59.7604668466509;1
105.167161573689;47.4483652430217;3
35.9961115883308;12.8556525156604;6
64.8927908122086;9.713670652716;6
114.037695469972;70.2175572552495;7
127.667622337921;-14.0388517767515;5
67.7226557433454;65.2118011407969;2
48.0911593647088;7.8862906671957;6
25.4742847221943;71.3314111654002;8
109.291186962344;45.3552593929605;3
44.7172128959084;49.2064318104016;1
64.2944324919925;41.7668875423901;2
32.181274260804;36.5917571465729;1
80.6735463705768;68.3979737129446;2
135.144738540093;-0.613665676352563;5
50.6029510462762;-0.819996186212169;6
54.8928043283927;5.31503944462154;6
54.1081629035459;-3.76547200810686;6
27.4582926836021;59.5737929509801;1
